Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS JUNIOR,"São Paulo, SP",A Gente Faz Terceirização,REQUISITOS: EXPERIÊNCIA COM DASHBOARD TRATAMENTO DE INFORMAÇÕES EXCEL E POWER BI AVANÇADO Atividades desenvolvidas: * RELATÓRIOS * ANÁLISE DE DADOS *…EmployerAtiva 14 dias atrás,Sem informacao
ANALISTA DE DADOS - PLENO (HÍBRIDO OU REMOTO),"Home office in Blumenau, SC",Recrutamento Externo,"
Tiver conhecimento sobre o contexto logístico.
Traduzir necessidades comerciais em especificações técnicas;
A Lincros é um time de pessoas ímpares.
Postado há 21 dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,Grupo SEB,"
Linguagem de programação para análise de dados (SQL, Python, R);
Estamos contratando Analista de Dados Sênior, com background em digital, tecnologia e inovação…
PostedHoje·","4,3"
ANALISTA DE DADOS (BI),"Ribeirão Preto, SP",J&T Express,"
Desenvolver e implementar análises de dados, entendendo fatores que impactem nos resultados, e apresentar os resultados à equipe de trabalho;
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS JR,Home office,Seazone,"
Excel básico, python ou R básico.
Excel Avançado, Python Avançado para Análise de Dados, R Avançado, Power BI ou equivalente.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Seven Clínica,"
Conhecimento em banco de dados SQL Server;
Atender as solicitações (atendimento aos chamados);
Desejável experiência prévia em funções similares;
Postado há 7 dias·",Sem informacao
ANALISTA DE DADOS,Home office,Moka Info,"
Especificar consultas para o time de TI, de acordo com padronização.
Especificar bases que alimentará o dashboard.
Especificar dashboard para o time de TI.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Belo Horizonte, MG",RHV,"
Experiência no uso e coleta de dados em sistemas ERP.
Desenvolver e manter relatórios no Power BI, definição e acompanhamento de indicadores, extração e trativa…
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS,Home office,Seazone,Como será um dia de trabalho típico na Seazone? Fazer parte dessa equipe significa que você ajudará a compor um time de excelência para trabalhar…Postado há 30+ dias·,Sem informacao
ANALISTA DE DADOS JR,"Goiânia, GO",PPT CONSULTORIA,"
Atividades *Criação e desenvolvimento de relatórios em Excel, extração de dados por instruções SQL e Administração de banco de Dados e Visualização.
EmployerAtiva 29 dias atrás·",Sem informacao
ANALISTA DE DADOS (BI) JR,"Ribeirão Preto, SP+2 locais",J&T Express Brasil,"
Chegamos para revolucionar o mercado de entregas expressas no país.
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Centro de Estética Seventh,"
Atender as solicitações (atendimento aos chamados);
Instalação e manutenção em sistemas;
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS COMERCIAIS,Home office,LIV - Laboratório Inteligência de Vida,"
Acreditamos que um time diverso é o caminho para cumprir a nossa missão de transformar vidas e o Brasil.
Postado há 21 dias·",Sem informacao
ANALISTA DE DADOS | TRIBO CRM,Home office,Lojas Renner,"
Conhecimento para consultar bases de dados SQL.
Experiência em análise de dados de diferentes fontes;
Habilidades no uso de Python para processamento de dados …
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"São Paulo, SP",EY,"
Construção de paineis de visualização de dados para exploração dos modelos de dados usando powerBI e ferramentas similares.
Postado há 1 dia·","4,0"
ANALISTA DE DADOS (BI),"Cuiabá, MT+2 locais",J&T Express Brasil,"
Chegamos para revolucionar o mercado de entregas expressas no país.
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS (POWER BI E TABLEAU),Home office,Turing.com,"
Rastrear requisitos de dados, fontes de informação e fluxos de dados para relatórios e processos.
Experiência em trabalhar com operações comuns de gerenciamento…
EmployerAtiva 5 dias atrás·",Sem informacao
ANALISTA DE DADOS JÚNIOR,Home office,Qexpert,"
Conhecimento em banco de dados relacionais e não relacionais;
Desenvolvimento de rotinas automatizadas para sincronização de dados entre diferentes plataformas;
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS - VAGA AFIRMATIVA PARA PESSOAS (PLENO),Home office,Nova Escola,"
Indispensável ter experiência profissional como analista de dados, analista de negócios ou afins;
Fomentar a cultura voltada a dados na empresa, transformando…
Postado há 1 dia·","4,0"
ANALISTA DE DADOS | SÊNIOR,"São José dos Campos, SP",Quero Educação,"
Experiência como desenvolvedor (não necessariamente relacionada à análise de dados);
Experiência com ferramentas de processamento e análises de dados (SQL,…
Postado há 30+ dias·","3,9"
ANALISTA DE DADOS JÚNIOR (JAMES DELIVERY),Home office,GPA,"
Análise comportamental de dados visando identificar padrões de fraude;
Busca por redução de falso positivos.
Linguagens de programação SQL e Python;
Postado há 28 dias·","4,2"
ANALISTA DE DADOS PL,Home office,Zallpy Digital,"
Aproveite para conhecer melhor a Zallpy Digital clicando aqui https://zallpy.com/.
Trabalhar em uma squad de Data Analytics integrada a cliente do setor…
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",Schneider Electric,"
The Data Collection Associate I will work with suppliers and customer contacts to obtain copy invoices, which can come via various mechanisms, setting up on…
Postado há 18 dias·","3,7"
ANALISTA DE DADOS (MODELAGEM),Home office,Fóton Informática,"
Experiência no tratamento de diversas fontes de dados (JSON, XML, CSV, txt, bancos relacionais e nosql).
Experiência em iSQL/Transaction SQL e PL/SQL.
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS - BI,"Belo Horizonte, MG",Green Talents,"
Power BI nível pleno ou superior, Excel Avançado, conhecimento avançado do Ambiente Microsoft , conhecimento em Banco de dados Mysql, conhecimento em Python …
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS E PRODUTO JÚNIOR,"Home office in São Paulo, SP",CIA Hering,"
Avaliação de desempenho dos produtos ativos nos sites (por coleção, grade de produtos, categoria, pirâmide de preço), como também fazer a gestão dos produtos…
Postado há 4 dias·","4,1"
ANALISTA DE DADOS,Home office,Lumen Games,"
Manipulação de dados: bom conhecimento de SQL.
Habilidade de extrair conclusões e elaborar uma estória clara a partir dos dados.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SR,"Home office in São Paulo, SP",Certsys,"
Desenvolvimento de Análise de dados aprofundada;
Além disso, somos certificados pela GPTW pelo segundo ano consecutivo, sendo uma das melhores empresas para se…
Postado há 4 dias·",Sem informacao
ANALISTA DE DADOS,+1 localHome office,Sicredi,"Análise de dados, planejamento e acompanhamento de resultado da equipe nas operações de cartão relacionadas ao Open Finance. Você se identifica e gostaria de…Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"São Paulo, SP",Classe A Saúde,"Analista de dados, relatórios, gestão de sistemas. Tipo de vaga: Tempo integral, Efetivo CLT Salário: R$2.294,00 - R$4.000,00 por mês Benefícios: * Vale…EmployerAtiva 9 dias atrás·",Sem informacao
ANALISTA DE DADOS DE RH,"São José dos Campos, SP",Embraer,"
Desenvolvimento e modelagem de dados para construção de Dashboards e análises de diversas áreas;
Analista de Dados de RH.
Vamos dar início a uma nova jornada?
Postado há 22 dias·","4,4"
ANALISTA DE DADOS,Home office,Nelogica,"
Tiver bons cases de visualização de dados;
Tomamos nossas decisões baseados em dados, e somos apaixonados por eles!
O que é essencial para esse desafio:
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Brivia,"
O analista de dados é responsável por realizar a verificação de cenários e o diagnósticos de marcas nos canais digitais a partir de dados e do monitoramento.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS COM FOCO EM PRODUTO,Home office,Clicksign,"
Ser orientado à dados, compreendendo claramente dados, análises, métricas e estatísticas com perfil altamente analítico.
Nossa essência é o Trust.
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS - SUMARE,"Sumaré, SP+1 local",OEmprego,"
Suporte administrativo para o desenvolvimento de projetos em conjunto com o time operacional de planejamento.
Mandatório possuir conhecimento avançado em Excel,…
Postado há 11 dias·",Sem informacao
ANALISTA DE DADOS,"São Carlos, SP",Lab Vagas.,"
Estruturar ferramentas que converterão os dados da empresa em informações relevantes para a tomada de decisão e estruturação de uma inteligência para o negócio;
Postado há 25 dias·",Sem informacao
ANALISTA DE DADOS,"Salvador, BA",ARTTHA Gestão & RH,"
Configuração de base de dados no Power BI.
Somos reconhecidos pelos nossos colaboradores como uma excelente instituição para trabalhar, principalmente pelo…
PostedHoje·",Sem informacao
ANALISTA DE DADOS COMERCIAL JR,"São Paulo, SP",Shopee,"
Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.
Postado há 21 dias·",Sem informacao
ANALISTA DE DADOS,"Home office in São Paulo, SP",DECISION GROUP IT,"
Capacidade de criar relatórios e visualizações de grandes conjuntos de dados.
Responsável pela administração e análise de dados na plataforma DX SaaS da…
EmployerAtiva 12 dias atrás·",Sem informacao
ANALISTA DE DADOS,"Florianópolis, SC+3 locais",Jobbol,"
Atuar no desenvolvimento do sistema interno através da plataforma no-code AppSheet.
Desenvolver planilhas auxiliares com fórmulas avançadas no Google Sheets.
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,Brivia,"
Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.
No dress code, seja 100% você;
Postado há 2 dias·",Sem informacao
ANALISTA DE DADOS GEOIA,Home office,Sicredi,"
Auxiliar no preparo de bases de dados;
Integrar o time de Engenharia de Dados de Crédito significa incorporar a cultura data-driven no dia a dia.
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"Home office in São Paulo, SP",Avita,"
Desenhar os processos de integração de dados considerando o uso de SQL.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Track,"
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Comunicação efetiva com todas as áreas de negócio da empresa.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO,Home office,Qexpert,"
Conhecimento em banco de dados relacionais e não relacionais;
Desenvolvimento de rotinas automatizadas para sincronização de dados entre diferentes plataformas;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Cortex,"
(Must have) Facilidade em trabalhar e manipular dados (criação de cubos/matrizes).
Atuação na manutenção e/ou melhorias nas consultas SQL que já existem com o…
Postado há 13 dias·","4,0"
ANALISTA DE DADOS,"Home office in São Paulo, SP",Conquest One,"
Conhecimento em ferramentas de visualização de dados (Power BI).
Desenvolvimento de aplicações Spark/Hadoop/hbase com Kafka em Java.
Postado há 30+ dias·","3,8"
ANALISTA DE DADOS PLENO,Home office,Bemobi,"
Criada em 2009 no Brasil como empresa independente, a Bemobi é uma empresa de tecnologia multinacional de capital aberto com escritórios espalhados pelo mundo.
Postado há 30+ dias·","4,5"
ANALISTA DE DADOS PLENO/SÊNIOR,"Home office in Belo Horizonte, MG",Sympla,"
Apoiar as equipes de negócio no mapeamento de requisitos de dados e informações para os diversos projetos em cada ciclo de Planejamento Estratégico;
Postado há 8 dias·",Sem informacao
ANALISTA DE DADOS (ASSISTENTE),"Home office in São Paulo, SP",EDC Uni & Smart,"
Preparar reports junto as áreas de negócio nas ferramentas de BI disponível na empresa.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Home office in São Paulo, SP",Zmes,"
Entender estrutura de dados de plataformas digitais (Google Analytics).
Entender a estrutura dos dados de marketing, provenientes de diversas plataformas …
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,Home office,Tech Sicredi,"
Auxílio Homeoffice (para atuação híbrida ou remota).
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS - POWER BI - INDICADORES,"Sorocaba, SP",JJR EMPREENDIMENTOS,"
Venha fazer parte do time que constrói sonhos!
Estruturar e acompanhar os indicadores e metas da organização, prestando apoio consultivo aos líderes das áreas;
Postado há 12 dias·",Sem informacao
ANALISTA DE DADOS CRM,Home office,Brivia,"
Experiência analisando dados de CRM.
Conhecimento para consultar bases de dados SQL.
Experiência em analise de dados de varejo;
No dress code, seja 100% você;
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS JR,"São Paulo, SP",Kroton,"
Analisar dados e gerar insights.
A Kroton tem mais de 50 anos de tradição e é atualmente uma das maiores empresas do setor de educação, atuando junto ao…
Postado há 7 dias·","4,1"
ANALISTA DE DADOS JUNIOR,"Indaiatuba, SP",RSCA CONSULTORIA EM TI Consultoria em Tecnologia...,"
Preparação dos dados simplificando-os ; construção de painéis de conhecimento com compartilhamento visual (dashboards); execução de rotinas de disponibilização…
Postado há 30 dias·",Sem informacao
ANALISTA DE DADOS,"Florianópolis, SC+3 locais",Jobbol,"
Ser responsável pelo banco de dados do sistema interno.
Empresa admite Analista de Dados em Florianópolis para atuar em Tempo integral, Comercial.
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS JUNIOR,"São Paulo, SP",Willis Towers Watson,"
Conhecimento em banco de dados e scripts em SQL.
O analista será responsável pelo desenvolvimento de indicadores para atender as áreas de Negócios/Comercial e…
Postado há 30+ dias·","3,6"
ANALISTA DE DADOS PLENO (1 VAGA),Home office,Pottencial Seguradora,"
Estruturar o banco de dados (Data Warehouse) a ser utilizado pelo BI através de ferramentas de ETL, visando a correta disponibilização das informações da Cia.;
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS PL (WEB ANALYTICS),Home office,MadeiraMadeira,"
Fazer interface com time de implementação traduzindo requisitos de negócio em linguagem técnica.
Conhecimento profundo em ambientes digitais (Web e Apps).
Postado há 7 dias·","3,2"
ANALISTA DE DADOS,"Assis, SP",Leveros,"
Ferramentas de dados e programação (Exemplo: Data Studio, Power BI, SQL, VBA, entre outras);
Ter capacidade analítica, com visão sistêmica e pensamento…
Postado há 12 dias·","3,5"
ANALISTA DE DADOS,"Belo Horizonte, MG",Hotmart,"
Apoiar a cultura de democratização de dados, encontrando soluções que facilitem o acesso aos dados pelo time;
Estar em constante alinhamento com o time de dados…
Postado há 15 dias·","4,6"
