Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS JUNIOR,Home office,Cielo,"
Experiência em SQL e desenvolvimento para extração de dados;
Atuar no aprofundamento e estudos com diferentes áreas dos produtos sob sua responsabilidade;
Postado há 5 dias·","4,2"
ANALISTA DE DADOS ESCOLARES JR. SÃO JOSÉ DOS CAMPOS / SP,"São José dos Campos, SP",Sistema Poliedro,"
Levantar, organizar, compilar interpretar e apresentar dados da equipe de Redação;
O seu conhecimento pode nos ajudar muito.
Postado há 30+ dias·","2,7"
ANALISTA DE DADOS,Home office,Qulture.Rocks!,"
Como pessoa analista de dados, você será responsável por gerar dados e transformá-los em insights que ajudarão o time de vendas com as negociações.
Postado há 3 dias·",Sem informacao
ANALISTA DE DADOS COMERCIAIS,Home office,LIV - Laboratório Inteligência de Vida,"
Acreditamos que um time diverso é o caminho para cumprir a nossa missão de transformar vidas e o Brasil.
Postado há 4 dias·",Sem informacao
ANALISTA DE DADOS - PLENO (HÍBRIDO OU REMOTO),"Home office in Blumenau, SC",Recrutamento Externo,"
Tiver conhecimento sobre o contexto logístico.
Traduzir necessidades comerciais em especificações técnicas;
Postado há 5 dias·",Sem informacao
ANALISTA DE DADOS (MANUFATURA),"Jacareí, SP",Ball Corporation,"
Trabalhar com o Time de Automação na gestão dos dados de operações unificados nos bancos de dados internos.
Extrair as informações dos bancos de dados da Ball …
Postado há 30 dias·","3,6"
ANALISTA DE DADOS JÚNIOR,Home office,Qexpert,"
Conhecimento em banco de dados relacionais e não relacionais;
Desenvolvimento de rotinas automatizadas para sincronização de dados entre diferentes plataformas;
Postado há 1 dia·",Sem informacao
ANALISTA DE DADOS PL,Home office,Iguá Saneamento,"
Ensino Superior Completo em Ciências da Computação, Engenharia, Estatísticas, Economia, Matemática ou áreas similares.
Salário compatível com o mercado.
Postado há 17 dias·","4,4"
ANALISTA DE DADOS,Home office,Track,"
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Comunicação efetiva com todas as áreas de negócio da empresa.
Postado há 16 dias·",Sem informacao
ANALISTA DE DADOS JR,Home office,Seazone,"
Excel básico, python ou R básico.
Excel Avançado, Python Avançado para Análise de Dados, R Avançado, Power BI ou equivalente.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS DE RH,"São José dos Campos, SP",Embraer,"
Ser o responsável por Analytics de RH (Indicadores de gestão de RH, Indicadores de orçamento de pessoas e indicadores de benefícios);
Postado há 5 dias·","4,4"
ANALISTA DE DADOS JÚNIOR (JAMES DELIVERY),Home office,GPA,"
Análise comportamental de dados visando identificar padrões de fraude;
Busca por redução de falso positivos.
Linguagens de programação SQL e Python;
Postado há 11 dias·","4,2"
ANALISTA DE DADOS,Home office,Seazone,Como será um dia de trabalho típico na Seazone? Fazer parte dessa equipe significa que você ajudará a compor um time de excelência para trabalhar…Postado há 30+ dias·,Sem informacao
ANALISTA DE DADOS PLENO | PROGRAMAÇÃO DE TV,Home office,Globo,"
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na Globo.
Postado há 1 dia·","3,5"
ANALISTA DE DADOS | TRIBO CRM,Home office,Lojas Renner,"
Conhecimento para consultar bases de dados SQL.
Experiência em análise de dados de diferentes fontes;
Habilidades no uso de Python para processamento de dados …
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS,"Home office in São Paulo, SP",DECISION GROUP IT,"
Capacidade de criar relatórios e visualizações de grandes conjuntos de dados.
Responsável pela administração e análise de dados na plataforma DX SaaS da…
EmployerAtiva 10 dias atrás·",Sem informacao
ANALISTA DE DADOS PLENO (MANUFACTURING),"Jacareí, SP",Ball Corporation,"
Trabalhar com o Time de Automação na gestão dos dados de operações unificados nos bancos de dados internos ball/balldw.
Postado há 30+ dias·","3,6"
ANALISTA DE DADOS,"Sumaré, SP",Adecco,"Sumaré, Brasil Enviar currículo em PDF, DOC, DOCX, PNG ou JPEG Preencher currículo…Postado há 4 dias·","3,8"
ANALISTA DE DADOS COMERCIAL JR,"São Paulo, SP",Shopee,"
Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.
Postado há 4 dias·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",Classe A Saúde,"Analista de dados, relatórios, gestão de sistemas. Tipo de vaga: Tempo integral, Efetivo CLT Salário: R$2.294,00 - R$4.000,00 por mês Benefícios: * Vale…Postado há 3 dias·",Sem informacao
ANALISTA DE DADOS PL,"São Paulo, SP",Allcare Gestora de Saúde,Principais Atividades Analisar/Realizar conciliações de dados Identificação de inconsistências e levantamento de área e fluxo ofensor Apontamento e…Postado há 3 dias·,Sem informacao
ANALISTA DE DADOS,Home office,Moka Info,"
Especificar consultas para o time de TI, de acordo com padronização.
Especificar bases que alimentará o dashboard.
Especificar dashboard para o time de TI.
Postado há 30+ dias·",Sem informacao
