Cargo,Local,Empresa,Descrição,Link
Analista De Banco De Dados (MySQL) – Rio De Janeiro – RJ - D...,"Rio de Janeiro, RJ",Divulga Vagas,"Administração de usuários e permissionamentos em acesso aos bancos de dados.Rotina de backups de banco.Linguagem SQL Nível Intermediário (MySQL) Triggers,…",https://tinyurl.com/y7tlnje3
ANALISTA DE BANCO DE DADOS - BV,"Brasília, DF",Buscar Vagas,Sustentação de banco de dados SQL Server;Análise e higienização de base de dados.Requisitos: Formação de nível superior na área de TI.,https://tinyurl.com/yc8n3eox
Analista de Ciência de Dados Sênior - Ciclo de Vida,"Barueri, SP",Cielo,"Experiencia em manipulação de banco de dados com linguagem SQL;Experência com ferramenta de visualização de dados como Tableau, Microstrategy, PowerBI, etc.",https://tinyurl.com/ybrwd7ag
Analista de Banco de Dados – SQL Server,"São Paulo, SP",Algar Tech,Foco em Desenvolvimento de Scripts em SQL/SQL Server para criar relatórios e testes de qualidade de dados baseados em dados mestre SAP;,https://tinyurl.com/y9e8ywaa
SENAI/PE - CÓD. 0093 ANALISTA DE DADOS,"Recife, PE",Sistema FIEPE,"Conhecimentos: Inglês, pesquisa, consolidação e estratificação de dados, cálculos e análises estatísticas e de viabilidade de produtos, base de dados e…",https://tinyurl.com/y8qmx4ny
Senior Consultant - Analista de Dados,"São Paulo, SP",Provider It,"Profundo conhecimento em Modelagem de Dados;Profundo conhecimento em Linhagem de Dados;Conhecimento de estratégia de negócio para como DADO, ou seja, ver a…",https://tinyurl.com/yayr3quj
Analista e/ou Engenheiro de Dados - PJBank - Campinas,"Campinas, SP",Superlógica,Experiência com o tratamento de manipulação de múltiplas fontes de dados e grande volume de dados;Escalar e manter a infraestrutura de dados;,https://tinyurl.com/y9vcvxan
Analista de Dados Técnicos de E&P - Júnior,"Rio de Janeiro, RJ",Spassu Tecnologia,Realização de consultas de dados geológicos através de softwares Petrobank e PowerExplorer;Manipulação de dados digitais de poços ligados à prospecção…,https://tinyurl.com/y9aqt5ne
[RJ] Engenheiro de Dados / Analista de Power BI,"Rio de Janeiro, RJ",RADIX Engenharia e Software,Implementação de transformações de dados para elaboração de indicadores.Conhecimento das soluções de manipulação de dados da Azure.Que tal fazer parte disso?,https://tinyurl.com/y8lh7uq7
Analista de Marketing - Dados e Inteligência,"Maringá, PR",brMalls,Desenvolver estratégias em conjunto com o time de Marketing/CRM - Holding para captura de leads qualificados e enriquecimento de dados do consumidor;,https://tinyurl.com/y927v56o
