Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS - BRADESCO SEGUROS,"Barueri, SP",Cia de Talentos,"
Bacharelado ou licenciatura concluídos a partir de jul/2020 até dez/2022 ou tecnólogo a partir de jul/2020 até dez/2021 em cursos de exatas ou tecnologia.
Postado há 23 dias","4,4"
CIENTISTA DE DADOS SÊNIOR,"Uberlândia, MG",Obuc Gestão de Dados,"
Responsável pelo desenvolvimento de Reports, Dashboards e Smart Centers para os clientes.
UX, design de telas com foco em user centricity.
EmployerAtiva 4 dias atrás·",Sem informacao
CIENTISTA DE DADOS PLENO,"Home office in São Paulo, SP",Clearsale,"
Trabalho com grandes volumes de dados com extração e manipulação de grandes conjuntos de dados, usando ferramentas como SQL e/ou R/ Python;
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS JÚNIOR,Home office in Brasil,Neon Pagamentos,"
A Neon está em busca de Cientista de Dados Júnior para fazer um time incrível e de alta performance.
Treinar e otimizar modelos de Machine Learning, avaliando o…
Postado há 11 dias·","4,3"
CIENTISTA DE DADOS JR - POLÍTICAS DE CRÉDITO,Home office,Open Co,"
Tem uma visão de mundo em que a tecnologia é integrada ao negócio;
Conhecimento em alguma linguagem de programação (Ex: Python, SQL, etc.);
Postado há 11 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Carguero,"
Proficiência na extração de dados utilizando SQL;
Conduzir projetos de Ciência de Dados voltados para diversas áreas;
Postado há 2 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Track,"
Resolver problemas relacionados aos negócios usando técnicas baseadas em dados.
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Postado há 22 dias·",Sem informacao
CIENTISTA DE DADOS JR,Home office,CASA&VIDEO,"
Experiência em manipulação de dados com SQL e programação em R ou Python;
Existimos para tornar acessíveis os sonhos dos nossos clientes.
Postado há 11 dias·","4,0"
CIENTISTA DE DADOS (DATA SCIENCE),Home office,Tem talento? Me mostre o que tem.,"
Estamos em busca de um novo integrante para compor o nosso time de dados.
Apresentação de resultados de análises aos usuários em relatórios ou dashboards.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Liv Up,"
Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…
Postado há 22 dias·","4,3"
CIENTISTA DE DADOS,"São Paulo, SP",Flix,"
Conhecimento em linguagens de programação de análise de dados (R, Python, Hadoop e SQL);
Visualização de Dados; Data Mining, Machine Learning;
Postado há 2 dias·",Sem informacao
CIENTISTA DE DADOS INTERNACIONAL - PLENO (REMOTO),"Home office in Florianópolis, SC",Bix,"
Familiaridade em criar notebooks e limpar dados;
Realizar consulta em banco de dados utilizando linguagem SQL dentro da estrurtura utilizada pelo cliente;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,CLAMED Administrativo,"
Desenvolve visualizações de dados em ferramentas de BI.
Faz modelagem de dados, interpretando e analisando estatisticamente os resultados;
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Hypera Pharma,"
Você ainda pode fazer parte do nosso time!
Superior Completo em Estatística, Matemática, Computação ou áreas afins;
Postado há 2 dias·","4,2"
CIENTISTA DE DADOS,Home office,Indra,"
O) Modelagem de dados e gerenciamento de múltiplas bases de dados.
C) Cientista de Dados Sênior - 03 anos em ciência de dados.
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Favo Brasil,"
Visualização de dados (QuickSight, Tableau, Looker, etc.);
Tudo isso, garantindo dinheiro no bolso do Empreendedor Favo, que não precisa fazer nenhum…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS (18946),"Home office in Curitiba, PR",Bosch Group,"
They work with structure and/or unstructured data, estimate the unknown by asking questions, writing algorithms, and building statistical models.
Postado há 3 dias·","4,1"
CIENTISTA DE DADOS JR.,"Campinas, SP",Kumulus,"
Garantir que o projeto seja implementado dentro da arquitetura proposta;
Trabalhar inovações para a área.
Experiência com frameworks e bibliotecas NLP / ML;
Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS JR,"Home office in Fortaleza, CE",FortBrasil,"
Convênio com o Cartão Vai Bem;
Postado há 5 dias·","4,3"
CIENTISTA DE DADOS,"São Paulo, SP",Telhanorte - Saint Gobain,"
Conhecimento em ferramentas de engenharia de dados (Airflow, Kafka, Spark, dbt).
Programação avançada em Python (essencial) / R (desejável).
Postado há 3 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 23 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,CashMe,"
Corresponsável pela criação e sustentação de rotinas de Data Quality (estatística descritiva, tratamento de NA, balanceamento de dados, tratamento de outliers).
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,modalmais,"
Ambiente que estimula mudanças, inspiração e inovação;
Resolver problemas complexos com inteligência artificial e machine learning.
Postado há 29 dias·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP","Amyris, Inc.","
Líderes em biologia sintética, começamos em 2003 com uma bolsa da Fundação Bill & Melinda Gates para criar uma molécula para tratar a malária.
Postado há 12 dias·","3,4"
CIENTISTA DE DADOS PLENO,"Brasília, DF",Qualificar,"
Experiência em suporte a gestão de negócios; Experiência com SQL Server e PostgreSQL; Experiência com desenvolvimento de aplicações na GCP; e Experiência em…
EmployerAtiva 7 dias atrás·",Sem informacao
