Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS - BRADESCO SEGUROS,"Rio de Janeiro, RJ",Cia de Talentos,"
Bacharelado ou licenciatura concluídos a partir de jul/2020 até dez/2022 ou tecnólogo a partir de jul/2020 até dez/2021 em cursos de exatas ou tecnologia.
Postado há 17 dias","4,4"
CIENTISTA DE DADOS JÚNIOR,Home office in Brasil,Neon Pagamentos,"
A Neon está em busca de Cientista de Dados Júnior para fazer um time incrível e de alta performance.
Treinar e otimizar modelos de Machine Learning, avaliando o…
Postado há 5 dias·","4,3"
CIENTISTA DE DADOS JÚNIOR,"São Paulo, SP",Itaú,"
Tratar dados e manusear bases.
Conhecimento técnico em analytics, ciência de dados e ambientes informacionais;
Postado há 4 dias·","4,3"
CIENTISTA DE DADOS JR - POLÍTICAS DE CRÉDITO,Home office,Open Co,"
Tem uma visão de mundo em que a tecnologia é integrada ao negócio;
Conhecimento em alguma linguagem de programação (Ex: Python, SQL, etc.);
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS JÚNIOR,Home office,Home office,"
Saber manipular banco de dados relacional;
Postado há 30 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Track,"
Resolver problemas relacionados aos negócios usando técnicas baseadas em dados.
Aqui a união faz a força e estamos sempre dispostos a ajudar uns aos outros.
Postado há 15 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,PagBank PagSeguro,"
Experiência na extração e análise de banco de dados (SQL).
Auxiliar e dar suporte ao time em validação de estruturas de dados e em Feature Engineering.
Postado há 3 dias·",Sem informacao
CIENTISTA DE DADOS (JÚNIOR),Home office,Propz,"
Aqui levamos os dados a sério.
Conhecimento em sistemas de processamento de dados de forma paralela e distribuída (Spark).
O que você vai encontrar na Propz.
Postado há 18 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Cielo Tech_Oportunidades em Tecnologia,"
Ter publicações ou portfolio, participação em competições, ou participado em algum Hackathon com foco em dados.
Postado há 3 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Indra,"
Big Data, Hive, HBASE, Python, Machine Learning, Inteligência Artificial, R, Power BI.
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS - JÚNIOR,Home office,Mollica IT,"
Ferramentas de visualização de dados - Tableau, Microstrategy, PowerBI etc;
Interagir com diversos stakeholders para assegurar entendimento da necessidade e…
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Liv Up,"
Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…
Postado há 16 dias·","4,3"
CIENTISTA DE DADOS | MODELAGEM DE RISCO DE CRÉDITO,Home office,Bava,"
Experiência usando armazenamentos de dados SQL (por exemplo, Redshift);
Você sabe como trabalhar com plataformas de Big Data e sabe como escrever uma consulta…
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS NA JUVO (1467),Home office,Keep Simple,"
Se sentir confortável em ambientes de computação Unix e utilizar seus truques favoritos BASH;
Ser familiarizado com estruturas de computação distribuídas, como:…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Tech Sicredi,"
Gerar insights através de estudos (Analytics), visando melhorar o relacionamento com o associado e atendimento das suas necessidades (visão centrada no…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,modalmais,"
Ambiente que estimula mudanças, inspiração e inovação;
Resolver problemas complexos com inteligência artificial e machine learning.
Postado há 23 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Brivia,"
Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.
No dress code, seja 100% você;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,CashMe,"
Corresponsável pela criação e sustentação de rotinas de Data Quality (estatística descritiva, tratamento de NA, balanceamento de dados, tratamento de outliers).
Postado há 29 dias·",Sem informacao
CIENTISTA DE DADOS PLENO - POLÍTICAS DE FRAUDE,Home office,Open Co,"
Experiência com visualização de dados como Quicksight, Metabase, Redash, Tableau;
Linguagem de programação e ferramentas para o desenvolvimento de análises,…
Postado há 9 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 17 dias·",Sem informacao
CIENTISTA DE DADOS SENIOR (REMOTO),Home office,Vem ser CASSI,"
Infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data;
Conhecimento em tecnologias para Inteligência Artificial, utilizando…
Postado há 11 dias·",Sem informacao
CIENTISTA DE DADOS JR.,"Campinas, SP",Kumulus,"
Garantir que o projeto seja implementado dentro da arquitetura proposta;
Trabalhar inovações para a área.
Experiência com frameworks e bibliotecas NLP / ML;
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,A3Data,"
Realizar análise exploratória dos dados;
Possuímos conhecimento nas mais variadas tecnologias, o que nos permite moldar soluções abrangentes e flexíveis.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Zallpy Digital,"
Aproveite para conhecer melhor a Zallpy Digital clicando aqui https://zallpy.com/.
Desenvolver indicadores, forecastes e modelos preditivos que auxiliem as…
Postado há 30+ dias·",Sem informacao
