Cargo,Empresa
None,PEBMED
None,Worldgroup Careers MWT
None,Firjan
None,A3Data
None,MadeiraMadeira
None,Favo Brasil
Cientista de Dados PL,americanas s.a
Cientista de Dados,Edesoft
Cientista de Dados,Externo
Cientista de Dados,Buser
None,FreteBras
None,Carreiras Méliuz
Cientista de dados,Bridge & Co.
Cientista de Dados,Liv Up
Cientista de dados Júnior,Porto Seguro
Cientista de Dados,Tech Sicredi
Cientista de Dados I,Martins
Cientista de Dados,2RP Net
None,EY
Cientista de Dados,Brivia
GDP-395 - Cientista de Dados - Pleno (Remoto),Instituto Atlântico
Cientista de Dados Pleno,Open Co
None,Grupo Primo
Cientista de dados,Trade Technology
None,Grupo Malwee
None,Curriculum.com.br
Cientista de Dados,Indra
Cientista de Dados,Shopee
Cientista de Dados Pleno,Aquarela Analytics
Cientista de Dados,Oi
Pessoa Cientista de Dados Sênior,Bankly
Cientista de Dados (Data Science),Tem talento? Me mostre o que tem.
Cientista de Dados II,Lumini IT Solutions
Cientista de Dados,NetBiis
[Rodobens] - Cientista de Dados Pleno,Page Outsourcing Brasil
None,Kroton
Cientista de Dados NLP,Indra
Cientista de dados Sênior | Estratégia de Credito,PicPay
None,Mirante Tecnologia
[SICREDI] - Cientista de Dados Sênior,Page Outsourcing Brasil
None,THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO
Cientista de dados,Qualificar TI
CIENTISTA DE DADOS (REMOTO),Sotran TMOV
Cientista de Dados,Keyrus Brazil
Cientista de Dados Pleno,Cielo
None,Hoff Analytics
Cientista de Dados,Nkey
Cientista de Dados,IBM
None,Ume
Cientista de dados (Processamento em Linguagem Natural (NLP)...,Indra
CIENTISTA DE DADOS SR,Porto Seguro
Cientista de Dados Especialista | CX | Ops,PicPay
Cientista de Dados,ViaHub
CIENTISTA DE DADOS - TRABALHO REMOTO OU HÍBRIDO,Eldorado
Cientista de Dados Sr,SBF - Vagas Tecnologia
Cód. 3102 - Cientista de dados,Quality
CIENTISTA DE DADOS,Grupo Sinagro
Cientista de Dados Júnior,EY
Cientista de Dados Sênior,EY
Cientista de Dados Sênior,STORMGROUP
Cientista de Dados,NETBIIS SERVICOS DE INTERNET LTDA
Cientista de Dados,Banco Bmg - Trabalhe conosco
Cientista de Dados Pl/Sr,Let's Code
Cientista de Dados Júnior,Amplifica Digital
Cientista de Dados Sr,EY
Especialista Digital (Cientista de dados),Grupo Big
None,Jobbol
Cientista de Dados Sênior TJ - SC,Véli RH
Cientista de Dados Sênior (Analista),Vivo Digital
Cientista de Dados,Mollica RH
Pessoa Cientista de Dados,CERTI
Cientista de Dados/Engenheiro Machine Learning,Indra
None,Blend IT
ESPECIALISTA CIENTISTA DE DADOS,Energisa - Recrutamento Externo
Cientista de Dados SR,Stefanini
Gerente - Cientista de Dados,EY
Cientista de Dados,Saúde iD
Cientista de Dados - remoto,HOLDEN Recruiting Talents
Cientista de Dados Sênior,Sympla
Cientista de Dados Pleno,LogComex
Cientista de Dados Python,GeekHunter
Engenheiro / Cientista de Dados (Trainee),Holos Media
Cientista de Dados – DialogFlow (Sênior e Especialista),C6 Bank
Cientista de Dados Sr,PagSeguro PagBank
Cientista de Dados sênior Python,GeekHunter
CÓD. 034/2022 - CIENTISTA DE DADOS,Eldorado
Cientista de Dados Sênior - Machine Learning,ViaHub
CIENTISTA DE DADOS PL / SR,Banco Bradesco SA
Cientista de Dados,Robert Half
Cientista de Dados (Remoto),LOCALIZA
Cientista de Dados - Recursos Humanos,Dasa
Analista Pleno - Cientista de Dados,C6 Bank
Cientista de Dados Python Pleno,InCuca Tecnologia
Cientista de Dados - Gerente 1,EY
Cientista de Dados III,Solar Coca-Cola
Cientista de Dados Machine learning,GeekHunter
Cientista de Dados Manager,EY
Analista Sênior - Cientista de Dados – (NLP),C6 Bank
Consultor(a) Cientista De Dados,Vivo Digital
Cientista de Dados II,epharma
Cientista de Dados,ValorH Consultoria e Treinamento
Cientista de Dados | Big Data & AI,Globo
Cientista de Dados Sênior,Vindi
Cientista de Dados,Grupo EasyTech
Cientista de Dados (TI),PetroReconcavo S.A.
Cientista de Dados Sênior,C&A
CIENTISTA DE DADOS SR,Finch Soluções
ESPECIALISTA DE PRODUTO (CIENTISTA DE DADOS),YDUQS
CIENTISTA DE DADOS,CASA&VIDEO
Cientista de Dados - SÃO PAULO NEGÓCIOS,BURH
CIENTISTA DE DADOS,BuscarVagas
Cientista de Dados,innolevels - Leveraging your Business
Pessoa Cientista de Dados,Fluency Academy
Cientista de Dados,HPROJEKT
Cientista de Dados Pleno,Consultoria RH Junior
Cientista de Dados PL,Zallpy Digital
