Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE DADOS (GCP) | REMOTO,"Home office in São Paulo, SP",Capgemini,"
Se você compartilha dos mesmos valores, aqui é o seu lugar.
Desenvolvimento e Manutenção de ETLs no stack GCP utilizando Python e Spark.
PostedRecém publicada·","3,8"
ENGENHEIRO DE DADOS (DATASTAGE) | REMOTO,"Home office in São Paulo, SP",Capgemini,"
Se você compartilha dos mesmos valores, aqui é o seu lugar.
PostedRecém publicada·","3,8"
ENGENHEIRO DE DADOS (ETL ADMIN) | REMOTO,"Home office in São Paulo, SP",Capgemini,"
Se você compartilha dos mesmos valores, aqui é o seu lugar.
Inglês avançado (fluencia em conversação: comunicação com o time e cliente).
PostedRecém publicada·","3,8"
ENGENHEIRO DE DADOS,"Home office in São José dos Campos, SP",IONIC Health,"
Conhecer a linguagem SQL e bancos de dados estruturados;
Documentar as soluções desenvolvidas para compartilhamento com os clientes e com os demais membros do…
Postado há 6 dias·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Myra,"
Conhecimentos de banco de dados relacional e SQL;
Usar grandes conjuntos de dados para resolver problemas de negócios;
O QUE É SER MYRA?
Postado há 10 dias·","3,9"
ENGENHEIRO DE DADOS,Home office,Cielo,"
Experiência como Engenheiro de Dados ou função semelhante envolvendo extração de dados, análise, programação e implantação.
Postado há 10 dias·","4,2"
ENGENHEIRO DE DADOS,Home office,Grupo V8,"
Criar ETL's e transformações necessárias;
Experiência profissional como Engenheiro de Dados.
Conhecimento de Apache Spark (preferencialmente com Python);
Postado há 13 dias·",Sem informacao
ENGENHEIRO DE DADOS GCP,Home office,Leega Consultoria,"
Projetar e construir pipelines de dados para apoiar projetos dentro dos squads seguindo as práticas recomendadas de engenharia de software;
Postado há 6 dias·",Sem informacao
ENGENHEIRO DE DADOS - (FOUNDRY_PALANTIR),"Home office in Barueri, SP",C&A,"
Experiência na criação e manutenção de pipelines de transformação de dados (ETL);
Postado há 4 dias·","4,1"
ENGENHEIRO DE DADOS - 16826,"Home office in Campinas, SP",Bosch Group,"
Definir junto com time interno a arquitetura de dados futura.
Apoio na estruturação do tema de Big Data para a unidade de ferramentas elétricas na América…
Postado há 10 dias·","4,1"
ENGENHEIRO DE DADOS JR/PL,"Home office in São José dos Campos, SP",NPW Digital,"
Construir, definir e expandir os limites da análise de dados;
Atuação com desenvolvimento em Java ou Python;
Conhecimento de Kafka, Kafka Streams e Hadoop;
Postado há 18 dias·",Sem informacao
ENGENHEIRO DE DADOS PL,Home office,Indra,"CLT + Beneficios Remoto Responsabilidades e atribuições Analise de dados, ingestão de dados Requisitos e qualificações Vivencia com ou em uma destas…Postado há 30+ dias·","3,8"
