Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE DADOS,"Home office in São José dos Campos, SP",IONIC Health,"
Conhecer a linguagem SQL e bancos de dados estruturados;
Documentar as soluções desenvolvidas para compartilhamento com os clientes e com os demais membros do…
Postado há 5 dias·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Myra,"
Conhecimentos de banco de dados relacional e SQL;
É entender que o aprendizado é a melhor parte da jornada.
Queremos ter o melhor time jogando com a gente, por…
Postado há 9 dias·","3,9"
ENGENHEIRO DE DADOS,Home office,Cielo,"
Experiência como Engenheiro de Dados ou função semelhante envolvendo extração de dados, análise, programação e implantação.
Postado há 9 dias·","4,2"
ENGENHEIRO DE DADOS - (FOUNDRY_PALANTIR),"Home office in Barueri, SP",C&A,"
Experiência na criação e manutenção de pipelines de transformação de dados (ETL);
Postado há 2 dias·","4,1"
ENGENHEIRO DE DADOS,Home office,Grupo V8,"
Criar ETL's e transformações necessárias;
Experiência profissional como Engenheiro de Dados.
Conhecimento de Apache Spark (preferencialmente com Python);
Postado há 12 dias·",Sem informacao
ENGENHEIRO DE DADOS - 16826,"Home office in Campinas, SP",Bosch Group,"
Definir junto com time interno a arquitetura de dados futura.
Apoio na estruturação do tema de Big Data para a unidade de ferramentas elétricas na América…
Postado há 9 dias·","4,1"
ENGENHEIRO DE DADOS GCP,Home office,Leega Consultoria,"
Projetar e construir pipelines de dados para apoiar projetos dentro dos squads seguindo as práticas recomendadas de engenharia de software;
Postado há 5 dias·",Sem informacao
ENGENHEIRO DE DADOS PL,Home office,Indra,"CLT + Beneficios Remoto Responsabilidades e atribuições Analise de dados, ingestão de dados Requisitos e qualificações Vivencia com ou em uma destas…Postado há 30+ dias·","3,8"
ENGENHEIRO DE DADOS,"São Paulo, SP",INEX,"Profissional atuará em Squad de Projetos. Senioridade em desenvolvimento ETL , e domínio nasa ferramentas Hadoop, SAS, Oracle, GCP, Azure…Postado há 10 dias·","3,2"
ENGENHEIRO DE DADOS - BIG DATA,Home office,Indra,"
Big data (Hive, HBase, Spark, Pig), Python e ShellScript Linux/Unix;
Postado há 30+ dias·","3,8"
ENGENHEIRO DE DADOS JR/PL,"Home office in São José dos Campos, SP",NPW Digital,"
Construir, definir e expandir os limites da análise de dados;
Atuação com desenvolvimento em Java ou Python;
Conhecimento de Kafka, Kafka Streams e Hadoop;
Postado há 16 dias·",Sem informacao
ENGENHEIRO DE DADOS GCP - SÊNIOR,Home office,Leega Consultoria,"
Modelar os dados na arquitetura Big Data.
Ficaremos muito felizes em ter você em nosso time.
Big Data: Hortonworks, Hive, Sqoop, Pyhton, Spark, Kakfa, Flume,…
Postado há 3 dias·",Sem informacao
ENGENHEIRO DE DADOS BIG DATA JÚNIOR,"São Paulo, SP",Innolevels,"
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS DATA VIZ JÚNIOR,"São Paulo, SP",Innolevels,"
Domínio de técnicas de apresentação de dados;
Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS SÊNIOR (REMOTO),Home office,Vem ser CASSI,"
Experiência em projetos de dados;
Sólida experiência em funções de engenharia de dados, com implementação de métodos e plataformas de Big Data.
Postado há 16 dias·",Sem informacao
ENGENHEIRO DE DADOS,"Home office in Brasília, DF",G&P Projetos e Sistemas,"
Construção repositórios para Big Data;
Conhecimentos aprofundados em ferramentas como Hadoop e Spark e linguagens Scala e Python;
Postado há 30+ dias·","3,5"
ENGENHEIRO DE DADOS - MODELO REMOTO,"Home office in São Paulo, SP",Vedacit,"
Entregar resultados e gerar impacto positivo é o que nos move!
Coordenar a otimização de rotinas ETL, análise de códigos SQL e procedures.
Postado há 10 dias·","4,7"
ENGENHEIRO DE DADOS,"São Paulo, SP",Innolevels,"
Construção / operação de sistemas distribuídos para extração, ingestão e processamento de grandes conjuntos de dados com alta disponibilidade.
EmployerAtiva 2 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,Home office,Grupo Baxtech,"
Experiência em processos de monitoria de carga de dados;
Sólida experiência em arquitetura de dados: Relacional; Big Data; NoSQL;
Experiência em gitlab CI/CD;
EmployerAtiva 5 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS,Home office,FanHub,"
Banco de dados SQL (Postgres e MySQL);
Integração contínua e entrega contínua de projetos de dados (CI/CD);
Construção de Pipelines de ingestão e manipulação de…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS (API),Home office,Armac,"
Estamos em busca de um(a) ENGENHEIRO DE DADOS com foco em API's para integrar o time de inovação e nos ajudar com nossos objetivos.
Postado há 10 dias·","4,1"
ENGENHEIRO DE DADOS PLENO,Home office,Banco BV,"
Bancos de dados transacional (Oracle, Sybase, SQL Server, MySQL);
Desenvolver pipeline ingestão de dados dos sistemas origem para as camadas de entrada no data…
Postado há 10 dias·","4,2"
"ENGENHEIRO DE DADOS (APACHE SPARK, KAFKA, SCALA, AND WEB3)",Home office,Turing.com,"
Work from home for U.S. companies and earn in dollars.*.
Only candidates with 6+ years of software development experience are eligible for this role.*.
Postado há 18 dias·",Sem informacao
ENGENHEIRO DE DADOS - ESPECIALISTA,Home office,Cielo,"
Criar painéis e reports para auxílio de decisões estratégicas.
Perfil de pensamento crítico, analítico e data-driven.
Postado há 30+ dias·","4,2"
ENGENHEIRO DE DADOS,Home office,Ecad,"
Superior em TI, engenharias e aréas afins.
Experiência em bases de dados transacionais e análiticas (Oracle e SQL).
Postado há 29 dias·","4,4"
ENGENHEIRO DE DADOS (INGLÊS) (REMOTO/BRASIL),"Home office in Campinas, SP",Programmer’s,"
Trabalhe na estruturação de plataforma de dados no Azure.
Aqui na Programmer’s, aceleramos grandes ideias com inovação e tecnologia.
Postado há 5 dias·",Sem informacao
ENGENHEIRO DE DADOS JUNIOR,"Brasília, DF",Qualificar,"
Implementação de processos para captura ou extração, transformação e carga (ETL) de dados estruturados e/ou não estruturados; Estruturar e gerir o suporte dos…
EmployerAtiva 2 dias atrás·",Sem informacao
"ENGENHEIRO DE DADOS (AWS, PHP, MYSQL E RESTFUL APIS)",Home office,Turing.com,"
Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.*.
Usar código limpo, testado e escalável para implementar histórias de usuários da…
Postado há 4 dias·",Sem informacao
ENGENHEIRO DE DADOS - PJBANK,Home office,Superlógica Tecnologias,"
Experiência na atuação como Engenheiro de dados;
Utilização de serviços de dados em Cloud Computing, preferencialmente AWS;
Fácil acesso ao board da empresa;
Postado há 30+ dias·","3,5"
ENGENHEIRO DE DADOS,Home office,DOT digital group,"
Usar dados para descobrir tarefas que podem ser automatizadas;
Alguma ferramenta de dashboard (Data Studio, Power Bi, Tableau ou QlikView);
Postado há 30+ dias·","5,0"
ENGENHEIRO DE DADOS,"São Paulo, SP",Telhanorte - Saint Gobain,"
Conhecimento em ferramentas de engenharia de dados (Airflow, Kafka, Spark, dbt).
Programação avançada em Python (essencial) / R (desejável).
Postado há 24 dias·",Sem informacao
ENGENHEIRO DE DADOS (MYSQL E AWS RDS),Home office,Turing.com,"
Estabelecer e manter padrões de bancos de dados.
Liderar e responsabilizar-se pelo ajuste de desempenho dos sistemas de bancos de dados.
Postado há 16 dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",Cognizant,"
Atuamos em diversas frentes: Digital Business, Cognizant Operation, Digital Systems and Technology (infraestrutura, SAP, Mulesoft, QE&A, entre outros).
Postado há 10 dias·",Sem informacao
ENGENHEIRO DE DADOS III,Home office,Lumini IT Solutions,"
Trabalhar próximo aos demais engenheiros de backend, cientistas de dados, analistas de dados, product owners e analistas de qualidade;
Postado há 23 dias·","2,5"
ENGENHEIRO DE DADOS,Home office,Grupo Henry Schein Brasil,"
Atuar junto com o time de analistas de dados para a adição de novos dados para as ferramentas de BI;
Trabalhar focado na documentação (dicionários de dados);
Postado há 30+ dias·","3,6"
ENGENHEIRO DE DADOS PLENO,Home office,Órama,"
Conhecimento em pelo menos um banco de dados relacional (Mysql, Postgres, SQL Server ou Oracle).
Criar e realizar a manutenção do Data Lake na nuvem.
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS - DESENVOLVEDOR BIGDATA,Home office,Indra,"
Boa vivencia com BiGData (Hadoop, Cloudera, HortonWorks);
Experiência em Desenvolvimento Python (PySpark + SparkSQL).
Postado há 30+ dias·","3,8"
ENGENHEIRO DE DADOS SÊNIOR,"Home office in São Paulo, SP",Hoop Global,"
Home Office | SQL Avançado | Python | ETL Avançado | Star Schema | AWS | *.
Skills: SQL avançado / python / ETL avançado/ Star Schema / AWS / inglês técnico.*.
EmployerAtiva 10 dias atrás·",Sem informacao
ENGENHEIRO DE DADOS GCP PLENO,Home office,Leega Consultoria,"
Experiência em projetos como arquiteto de dados, responsável pelo desenho da solução de dados end to end.
Preparação/modelagem de bases de dados;
Postado há 16 dias·",Sem informacao
ENGENHEIRO DE DADOS | ANALYTICS ENGINEER,Home office,Trinus Co.,"
Colaborar com o chapter de Data Platform para melhoria de ferramentas (catálogo de dados, verificação automatizada de código e dados);
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS/ETL (SCALA E APACHE SPARKS),Home office,Turing.com,"
Escrever código bem documentado, testado e manter a integridade dos dados em mente.
Trabalhar de perto com cientistas de dados, oferecendo apoio em uma…
Postado há 13 dias·",Sem informacao
ENGENHEIRO DE DADOS,"Brusque, SC",Havan Labs - Tecnologia,"
Experiência com ferramentas de ETL e integração de dados ( SSIS e Airflow );
Conhecer o modelo/regras de negócio para garantir a governança da informação;
Postado há 9 dias·",Sem informacao
ENGENHEIRO DE DADOS PYSPARK / SÃO PAULO,"São Paulo, SP",Capgemini,"
Experiência com desenvolvimento com Python/ Spark (Pyspark) avançado; desenvolvimento de ETL.
Postado há 13 dias·","3,8"
ENGENHEIRO DE DADOS PLENO,Home office,Qconcursos,"
Conhecimento em ferramenta para catalogação de dados (Amundsen, DataHub).
Experiência em (Python, SQL, Spark).
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE DADOS,"São Paulo, SP",Otg,"
Mais de 2 anos de experiência no setor de desenvolvimento de software, engenharia de dados, inteligência de negócios, ciência de dados.
Postado há 5 dias·","2,7"
ENGENHEIRO DE DADOS SÊNIOR (PYTHON),Home office,Turing.com,"
Oferecer mentoria para membros da equipe de dados e ajudá-los a melhorar suas habilidades de engenharia de software.
Experiência prática em um ambiente remoto.
Postado há 10 dias·",Sem informacao
ENGENHEIRO DE DADOS CLOUDERA SÊNIOR,Home office,Leega Consultoria,"
Ficaremos muito felizes em ter você em nosso time.
Necessário ampla experiência em serviços Cloudera (IMPALA, Sqoop, Shell Script, etc.);
Postado há 30+ dias·",Sem informacao
