Cargo,Local,Empresa,Descrição,Link
Gerente Data and Analytics (Engenharia de Dados),"Brasília, DF",Ernst & Young,"Projetar soluções de Engenharia de Dados que usam uma coleção de tecnologias para atingir metas, dada uma ampla variedade de ambientes e tipos de dados.",https://tinyurl.com/ygdv37ex
Engenheiro de Dados AWS Senior,"São Paulo, SP",Keyrus Brazil,"Desenvolver processos de conjunto de dados escalonáveis para modelagem de dados, mineração e produção.Executar migrações de dados em diferentes bancos de dados…",https://tinyurl.com/yhhqoctn
Engenheiro de Dados | Projeto Sommos,"São Paulo, SP",Saúde iD - Toda Saúde é única.,Domínio de técnicas de ingestão e tratamento de dados;Construir modelos de ingestão de dados utilizando melhores práticas de performance;,https://tinyurl.com/yja3o34l
Engenheiro de Dados,"São Paulo, SP",innolevels - Leveraging your Business,"Estamos contratando Engenheiro de Dados para a execução de projetos de transformação digital, desenvolvendo ferramentas inovadoras para entregar a melhor…",https://tinyurl.com/ygp2ubck
Engenharia de Dados - Sênior,"São Paulo, SP",Softtek,Conhecimento em ferramentas de Engenharia de Dados;Conhecimento em banco de dados Oracle e bancos não relacionais;Experiência com utilização de APIs;,https://tinyurl.com/yf6l98be
Engenheiro de Dados - Python e SQL,"São Paulo, SP",Indra,"Conhecimento de SQL e Python.Experiência com Plataforma Microsoft Azure (data factory, databricks, dataflows, Dw) ou pelo menos outra solução cloud do mercado:…",https://tinyurl.com/yj63pvs4
Engenheiro de Dados,"São Paulo, SP",ENTRUST-CONSULTORIA,SonarQube para relatórios de cobertura de código.Conhecimento prático de políticas de firewall e Active Directory.AWS Developer ou Architect Certified.,https://tinyurl.com/yghlqdg7
Engenheiro de Dados - Miramar,"João Pessoa, PB",Indra Company,"Empresa de tecnologia da informação admite Engenheiro de Dados em João Pessoa (Miramar) para atuar em Tempo integral, Comercial.",https://tinyurl.com/yzsk64x8
Engenheiro(a) de Dados [Java/Scala],Rio Grande do Sul,Datum,"Um mundo cheio de desafios;Framework de processamento distribuído Spark;Sua stack é ETL, Java e Scala?A @Datum quer adicionar você!",https://tinyurl.com/yg62ref4
Engenharia de Dados | Presencial,"São Paulo, SP",Ambev Tech,Propor e implementar melhoria contínua dos processos de tratamento de dados.Traduzir os requisitos de negócio e funcionais para especificar processos de…,https://tinyurl.com/yjow8d5f
Engenheiro de Dados,"São Paulo, SP",IBM,"Sobre a unidade de negóciosA IBM Services é uma equipe de consultores de negócios, estratégia e tecnologia que projeta, constrói e executa sistemas e serviços…",https://tinyurl.com/yhmqt46c
Engenheiros de Dados Pl - Azure / GCP,"São Paulo, SP",Wikeen,Mapeamento de dados e entendimento de fluxo de dados.Entendimento de fluxo de dados.Conhecimento de modelos de atribuição de mídia.O que você precisa ter:,https://tinyurl.com/yjmdc9nz
Engenheiro de dados,"Rio de Janeiro, RJ",Innolevels,"Os bancos de dados principais:Estamos contratando Engenheiro de Dados para a execução de projetos de transformação digital, desenvolvendo ferramentas…",https://tinyurl.com/yj3arebw
Engenheiro de Dados - Pleno,"Hortolândia, SP",IBM,Extrair e explorar conjuntos de dados grandes e complexos de diferentes bancos de dados IBM.Limpar dados e implantar modelos de aprendizado de máquina de prova…,https://tinyurl.com/yhp5mqky
Engenheiro de Dados Especialista,"São Paulo, SP",INEX,Micro Serviços Azure e GCP.,https://tinyurl.com/ydunardx
Engenheiro de Dados (Especialista) - Inovação Corporativa -...,"Rio de Janeiro, RJ",Rede D'Or São Luiz,; Garantir a qualidade técnica dos sistemas em conformidade com os requisitos; Buscar e implantar boas práticas de engenharia de software e novas tecnologias;…,https://tinyurl.com/yfeshc6o
Engenheiro de Dados - CRM,"Curitiba, PR",Paraná Banco,"Conceitos de modelagem de dados;Esse profissional irá trabalhar dentro do time de engenheiros de dados alocado em um Squad de CRM, onde terá como missão a…",https://tinyurl.com/ye8s4vbk
Engenheiro de Dados Sênior,Brasil,GeekHunter,"Experiência com governança e catalogação de dados.Experiência com governança e catalogação de dados.Criar e gerenciar data flows, clusters de processamento e…",https://tinyurl.com/yjauvy6j
Engenheiro(a) de Dados,Remoto,Mobicare,Experiência de no mínimo 2 anos de atuação como engenheiro de dados.Arquitetar e construir estruturas integrando dados de nossas várias fontes de dados;,https://tinyurl.com/yhpueq7t
Engenheiro/a de Dados e Analytics,"São Paulo, SP",Braskem,Construir algorítimos de tratamento e transformação de dados de forma automatizada.Conhecimentos básicos de modelagem de dados / Data Warehousing.,https://tinyurl.com/yh3kqzam
Engenheiro(a) de Dados - SR,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Engenheiro de dados com conhecimento em Ecossistema Hadoop, domínio em PySpark, Python, SQL - Trabalho com modelagem e…",https://tinyurl.com/yzlsc7ak
Engenheiro de Dados ETL Pleno Cód.: 271911,Remoto,Mirante Tecnologia,"Tipo de vaga: Tempo Integral, Efetivo/CLT.Requisitos Obrigatórios: Desenvolvimento ETL; Pentaho Data Integration (PDI); Modelagem Dimensional de BI (Data…",https://tinyurl.com/ygnb85wl
@ Engenheiro de Dados Spark Cloudera Sênior,"São Paulo, SP",Keyrus Brazil,O consultor irá trabalhar com tarefas de desenvolvimento e manutenção de rotinas utilizando PySpark e Pandas para ETL de entidades no Datalake.,https://tinyurl.com/yhz6qft5
Engenheiro de Dados de Integração (Desenv de ETL) (Remoto/Br...,"São Paulo, SP",Programmer’s,"Desejável: conhecimento em criptografia/mascaramento de dados, LGPD, conceitos de camada de dados bruto, confiável e refinado.",https://tinyurl.com/yk2qfczn
Engenheiro de Dados Pleno,"São Paulo, SP",Mercado Bitcoin,"Trabalhar os dados de acordo com as regras de negócio;Essa posição será focada na extração, transformação e carregamento dos dados em nosso ambiente Datalake…",https://tinyurl.com/yebol6bt
Engenheiro(a) de Dados - Pleno,"São Paulo, SP",Semantix,"Procuramos engenheiro de dados Pleno com background de Dev para atuação com ingestão de dados, conhecimentos em Desenvolvimento e APIs.",https://tinyurl.com/yegy3n3o
@ Engenheiro de Dados Sênior - Informatica BDM - DEI,"São Paulo, SP",Keyrus Brazil,"Conhecimentos em linguagem SQL ANSI, modelagem de dados e banco de dados Oracle;Projetar, desenvolver, implantar e oferecer suporte ao negócio através de…",https://tinyurl.com/yjlehtyf
Engenheiro de Dados Sênior - Informatica BDM - DEI,Brasil,Red Pill RH,"Conhecimentos em linguagem SQL ANSI, modelagem de dados e banco de dados Oracle;Projetar, desenvolver, implantar e oferecer suporte ao negócio através de…",https://tinyurl.com/yjdntzmo
Engenheiro de Dados - Informatica BDM - DEI - Líder Técnico,Brasil,Red Pill RH,"Conhecimentos em linguagem SQL ANSI, modelagem de dados e banco de dados Oracle.Através de desenvolvimento de soluções técnicas.",https://tinyurl.com/yz3s6g58
Eng. de Dados de Qualidade (DEQ) e Governança (EDC) (Remoto/...,"São Paulo, SP",Programmer’s,"Conhecimento das ferramentas Informatica DEQ e EDC (10.4.1);Conhecimento da ferramenta Informatica Data Engineering Quality (DEQ 10.4.1): Profile, Score Cards,…",https://tinyurl.com/yz428u6g
Engenheiro de Dados Sênior Big Data,"São Paulo, SP",Keyrus Brazil,"Mais de 3 anos de experiência com projetos Big Data e engenharia de dados.Modelagem de dados em RDB e colunar.Arquitetura Batch, Streaming, Lambda e Kappa.",https://tinyurl.com/yeur6ynf
Analista de Engenharia de Dados Sr. (PE),"Recife, PE",Avanade,Com a manipulação de dados e criação de processos de ETL.Modelar os dados em um ambiente de BigData / DataWareHouse.Amar a área de tecnologia.,https://tinyurl.com/ye23bylw
Engenheiro(a) de Dados - Sênior,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Modelagem de tabelas NoSQL e explorando técnicas de expurgo;Curso de inglês e espanhol (in company) - Após 03 meses…,https://tinyurl.com/yg7cfztj
Engenheiro(a) de Dados Sr | SQL,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Estruturar queries na origem (SQL) e no Data Lake.,https://tinyurl.com/ygwnnht8
Engenheiro de Dados / Cientista de Dados - Sênior - DataSUS,Brasil,Red Pill RH,Experiência com modelagem de dados.Suporte em integração de dados DataSUS com outras fontes de mercado e internas.Experiência de trabalho com base DataSUS.,https://tinyurl.com/yjdfypte
Engenheiro de Dados: Big Data,"Hortolândia, SP",IBM,"Experiência em análise de Dados + experiência com Power BI e Conhecimento de métricas de agilidade (Lead time, Velocity, Throughput e etc).",https://tinyurl.com/ydw3a34j
Engenheiro de Dados Spark Cloudera Sênior,Brasil,Red Pill RH,O consultor irá trabalhar com tarefas de desenvolvimento e manutenção de rotinas utilizando PySpark e Pandas para ETL de entidades no Datalake.,https://tinyurl.com/ygjsaxkn
ENGENHEIRO DE DADOS,"São Paulo, SP",Hypera Pharma,"Conduzir projetos de soluções analíticas, identificar e viabilizar a aplicação de novas tecnologias, visando a disponibilização de dados para auxiliar na tomada…",https://tinyurl.com/yzwa6nde
Engenheiro de Dados Sênior,"São Paulo, SP",Conquest One,Experiência com processamento de dados (Streaming e Batch);Conhecimento em banco de dados relacionais e não relacionais;Noções de kubernetes e docker;,https://tinyurl.com/yhlj6unw
Engenheiro de Dados | COE Analytics,"Rio de Janeiro, RJ",Globo,Possibilidade de impactarpositivamente a vida de milhares de pessoas;Realizar analises complexas em grandes volumes de dados para responder a questões-chave do…,https://tinyurl.com/yfz4d3he
Engenheiro(a) de Dados Sr. | Teradata,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Construção de Base de Conhecimento para Incidentes…,https://tinyurl.com/yfcwktkk
Engenheiro de Dados,"Uberlândia, MG",Projetas,"Empresa de TI admite Engenheiro de Dados em Uberlândia para atuar em Tempo integral, Comercial.Realizar a análise de requisitos.",https://tinyurl.com/yzo5dhw7
Engenheiro de Dados Sênior | AWS,"São Paulo, SP",Semantix,Experiência com criação de pipelines de ingestão de dados usando Google Cloud.Conhecimento em criação de processos de carga de dados batch e streaming (origem…,https://tinyurl.com/yzd7lsys
Engenheiro de Dados - Pleno | Cloud,"São Paulo, SP",Semantix,Experiência com criação de pipelines de ingestão de dados usando Google Cloud.Conhecimento em criação de processos de carga de dados batch e streaming (origem…,https://tinyurl.com/yfdrujpj
Engenheiro(a) de Dados Sr | Spark,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Estruturar queries na origem (SQL) e no Data Lake.,https://tinyurl.com/yzy7zxv9
ANALISTA ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Brasilprev,"Experiência em: Análise e programação de demandas de modelagem e extração de dados.Venha fazer parte do nosso time de tecnologia, onde você terá com o objetivo…",https://tinyurl.com/yequ3y9y
Engenheiro (a) de Dados Sênior,"Palhoça, SC",CALCARD,"Capacidade de desenvolver cargas e realizar integrações de novas fontes de dados.Postura de protagonista e de fazer as coisas acontecerem – sim, precisamos do…",https://tinyurl.com/yzp47vla
Engenheiro(a) de Dados sênior Azure,"Florianópolis, SC",GeekHunter,"Sólidos conceitos de infraestrutura, planejamento de capacidade e topologias de rede.Esta pessoa será responsável por atividades de operação de serviços de…",https://tinyurl.com/yerwf5f8
Engenheiro de Dados,"Ponta Grossa, PR",KMM,"Como Engenheiro de dados, você ajudará na criação de ferramentas e serviços de exploração de dados.Conhecimento de linguagens de programação relacionada a…",https://tinyurl.com/ygqdyg93
Engenheiro de Dados,"São Paulo, SP",Decathlon,Banco de dados relacional avançado/especialista.Na Decathlon nossa missão é levar o prazer e os benefícios do esporte ao maior número de pessoas de maneira…,https://tinyurl.com/ygr8b6e2
Engenheiro de Dados Sr.,"São Paulo, SP",UOL,"Experiência com processamento de alto volume de dados.Contribuir na obtenção de conhecimento no contexto de negócio e criação de novos produtos de dados,…",https://tinyurl.com/yhy3mqkr
Engenheiro de Dados,"São Paulo, SP",Sorte Online,"Automatizar os fluxos de dados.Extrair, estruturar, e tratar de bases de dado.Conhecimento de bancos de dados SQL e NoSQL (PostgreSQL, SQL Server, Mongo,…",https://tinyurl.com/yfrm5hn7
Programador(a) Python (Engenheiro de Dados de Saúde),Remoto,Comsentimento,Transformação de dados para modelo de dados comum.Desenho de arquitetura de banco de dados e persistência.Experiencia com bases de dados de saúde.,https://tinyurl.com/yh9tn85p
Engenheiro de Dados Senior Power Center,Brasil,Red Pill RH,Solução de problemas (busca de soluções).Nosso cliente possui a missão de auxiliar as empresas a extrair todo o potencial de Dados e Digital objetivando…,https://tinyurl.com/yjapkvud
Engenheiro de Dados Sênior,"São Paulo, SP",Sciensa,Criação de scripts de ETL de dados.Integração com ferramentas de governança e gerenciamento de dados.Disseminação de boas práticas para o time de engenharia.,https://tinyurl.com/yhyhrlna
Engenheiro de Dados PowerCenter + BDM JR,Brasil,Red Pill RH,Banco de dados SQL Server.Nosso cliente possui a missão de auxiliar as empresas a extrair todo o potencial de Dados e Digital objetivando aumentar seu…,https://tinyurl.com/yhh66nfx
Engenheiro de Dados Sr,"Curitiba, PR",Grupo Marista,Desenhar e implantar processos de automação de carga de dados;Desenho e implantação de modelos de dados relacionais;Programa de Qualidade de Vida.,https://tinyurl.com/yzxfqyae
ENGENHEIRO DE DADOS BIG DATA SR,Brasil,SPC Brasil,"Somos uma empresa de Gestão e Inteligência de Dados, oferecemos soluções a consumidores e empresários com o objetivo de facilitar a realização de negócios por…",https://tinyurl.com/yeamflcm
CONSULTOR DATA ENGINEER (Engenheiro de Dados),"São Paulo, SP",Atento Corporate,"Facilitar a construção de modelos de dados pelo cientista.Atuar junto com o cientista de dados, arquiteto e usuários de negócio, suportando e provendo soluções…",https://tinyurl.com/yg3f5w85
Engenheiro de Dados (Azure) (PI),"Campinas, SP",OEmprego,Gerenciamento de banco de dados na nuvem.Atuar na estruturação de plataforma de dados no Azure.Criação de ETL com Data Factory.| Ensino: . | Turno: Integral.,https://tinyurl.com/yjmwr727
Engenheiro de dados - Sênior,"São Paulo, SP",Bexs Banco,"3 anos de experiência de trabalho em um departamento de engenharia de dados, de preferência como Engenheiro de Dados em ambiente de produção;",https://tinyurl.com/yhfs6cmg
Engenheiro de Dados Azure,Brasil,Red Pill RH,"Engenheiro de Dados Senior com no mínimo 5 anos de experiência em processos de ingestão de dados, para atuar em processo de ingestão de dados baseado em PySpark…",https://tinyurl.com/yghkyyo5
Engenheiro de Dados Senior (Python + GCP),Brasil,Red Pill RH,"Espera-se que este profissional tenha conhecimento em técnicas de captura, tratamento e estruturação de dados em arquitetura de processamento de dados com…",https://tinyurl.com/ydnhzlrt
Pessoa Engenheira de Dados,"Rio de Janeiro, RJ",Passei Direto,"Arquitetar e construir estruturas para BI, análise e ciência de dados, integrando dados de nossas várias fontes de dados;",https://tinyurl.com/yzg9loza
Engenheiro de Dados Informatica Cloud Sr,Brasil,Red Pill RH,Engenheiro de dados Sr. responsável pelo desenvolvimento de pipeline de dados utilizando a ferramenta Informatica Cloud com experiência em trabalhos com grandes…,https://tinyurl.com/ye5vs9zb
Engenheiro de Dados Azure Senior,Brasil,Red Pill RH,Engenheiro de Dados Senior responsável pelo fluxo de ingestão de dados:Construir pipelines de extração de dados de diversas fontes e armazenar em um Azure Data…,https://tinyurl.com/yeqn76eq
Engenheiro de Dados Azure Pleno,Brasil,Red Pill RH,"Criar pipelines de ingestão e transformação de dados.Analise e documentação das diversas fontes de dados do cliente (APIs, banco de dados relacionais e NO-SQL)…",https://tinyurl.com/ydsrkvxt
Engenheiro(a) de Dados,"São Paulo, SP",Dasa,"Estruturar e hierarquizar os dados de forma a não ter duplicatas, nem perda de dados.Criação de banco de dados para análises mais assertivass e melhor…",https://tinyurl.com/yf2956vg
Engenheiro de Dados Pl.,"São Paulo, SP",UOL,"Experiência com processamento de alto volume de dados.Contribuir na obtenção de conhecimento no contexto de negócio e criação de novos produtos de dados,…",https://tinyurl.com/yg2nkzra
Engenheiro de Dados Big Data Python AWS,Brasil,Red Pill RH,"Engenheiro de dados para apoiar cliente com engenharia reversa e validação de dados em ambiente Big Data.Atuará tanto no desenvolvimento dos fluxo de carga,…",https://tinyurl.com/yz8oagfp
Engenheiro de Dados Azure Sênior,Brasil,Red Pill RH,Engenheiro de dados para apoiar cliente com engenharia e validação de dados em ambiente Big Data.Criar pipelines de ingestão e transformação de dados.,https://tinyurl.com/yh5nwy5y
Pessoa Engenheira de Dados Sênior ( Vaga Remota),"Belo Horizonte, MG",Carreiras Méliuz,"Experiência prática em projetar, desenvolver e manter de pipelines de dados;Atuar na coleta, processamento e armazenamento de grandes volumes diários de dados.",https://tinyurl.com/yhgxgevm
Engenheiro(a) de Dados Python sênior,"São Paulo, SP",GeekHunter,"Engenheiro de dados que seja capaz de arquitetar sistemas distribuídos, com diversas fontes de dados, implementando pipelines de dados confiáveis, que colabore…",https://tinyurl.com/yz4swrqd
Engenheiro De Dados #vaga,"Jaguariúna, SP",Divulga Vagas,"Construir, avaliar e executar scripts de atualização de dados de forma performática.Experiência com ferramentas de ETL e integração de dados;",https://tinyurl.com/yzdwdrmn
Engenheiro de Dados,"Belo Horizonte, MG",Viarh,Requisitos e Qualificações: Experiência na linguagem NodeJs; Experiência nas ferramentas de Dados da AWS; Experiência em trabalhar com ETLs; Experiência em…,https://tinyurl.com/yekqgdn4
Programador(a) Python (Engenharia de Dados),"Curitiba, PR",Hilab (Hi Technologies),Experiência em desenvolvimento de pipeline de dados;Manutenção e atualização do pipeline de dados;Garantir a disponibilidade de dados para o resto da empresa;,https://tinyurl.com/yhjsr3ly
Engenheiro De Dados (Azure) #vaga,"Campinas, SP",Divulga Vagas, Irá atuar no desenvolvimento de Pipelines de ingestão e tratamento dos dados em ambientes big data e também transacionais.,https://tinyurl.com/yfzm2m4y
Engenheiro de Dados Sênior,"Porto, PI",EVPConnect,"Ter mais de 5 anos em um ambiente de Data Warehouse com diversas formas de infra-estrutura de dados, incluindo bancos de dados relacionais, e lagos de dados;",https://tinyurl.com/yer7n5rd
Engenheiro de Dados,Remoto,VENCO-CSTI Consultoria em TI,"Criação e sustentação de soluções de integração, armazenamento e análise de dados;Experiência na estruturação de bancos de dados de BI, Data Lakes, Data…",https://tinyurl.com/ybsgewjs
Engenheiro(a) de Dados Pleno,Brasil,Voltz,Tenha experiência com APIs (de dados);(Consistência de dados é importante para nós);Vai de metrô ou de ônibus?Realizar a revisão de PR;,https://tinyurl.com/yzt4agsb
Engenheiro de Dados,"São Paulo, SP",Westwing,"Ter trabalhado com criação, monitoramento e automação de pipelines de dados.Ter uma ótima organização para manter os dados atualizáveis conforme a demanda de…",https://tinyurl.com/yecjcnpb
Engenheiro de dados,"Campinas, SP",JR Assessoria em RH,Buscamos Engenheiro de Dados para atuar no time na região de Campinas!Diretrizes de distanciamento social aplicadas.Transferência de bancos DB/DW.,https://tinyurl.com/y82hhjto
"Engenheiro(a) de Dados JR, Pleno e SR","São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Entendimento dos requisitos de negócio;,https://tinyurl.com/yfdd7zvj
[RJ] Engenheiro de Dados Pl.,"Rio de Janeiro, RJ",RADIX Engenharia e Software,Conhecimento das soluções de manipulação de dados da Azure.Conceitos e melhores praticas para elaboração de pipelines de ingestão e tratamento de dados.,https://tinyurl.com/yd3lzlrd
Engenheiro de Dados - Pleno,"Alphaville, SP",Better Now Tecnologia da Informação,Modelagem de banco de dados;Atuação com o processo de geração de dados para teste;Conhecimento em Banco de dados (SQL/Oracle).,https://tinyurl.com/yg83fqzu
