Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados Sênior,"Rio de Janeiro, RJ",Zoop,"Estamos buscando engenheiros de dados que não tenham medo de sujar as mãos de graxa e colocar a mão na massa.NoNossa sede fica na Barra da Tijuca, porém, somos…",https://www.indeed.com/rc/clk?jk=b3284d04ff8d7f25&fccid=17db650bc29ccff0&vjs=3
Engenheiro de Dados Júnior,"São Carlos, SP",Grupo diMelo,Acompanhar release de pacotes de aplicações.Participar de definições de melhores práticas para desenvolvimento de soluções existentes para um melhor…,https://www.indeed.com/company/Grupo-diMelo/jobs/Engenheiro-Dados-J%C3%BAnior-2d4b71d6b4df7eb9?fccid=b1a1996e76da8411&vjs=3
Engenheiro de Dados Pleno,"São Carlos, SP",Grupo diMelo,"Acompanhar release de pacotes de aplicações.Contribuir na definição das camadas de dados e seu respectivo uso;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://www.indeed.com/company/Grupo-diMelo/jobs/Engenheiro-Dados-Pleno-e14a857a4b06c6f9?fccid=b1a1996e76da8411&vjs=3
Engenheiro de Dados Sênior,"São Paulo, SP",Grupo diMelo,Avaliar processos e direcionar adequações nas soluções visando otimização de performance de código e de infraestrutura;Principais atividades do dia a dia:,https://www.indeed.com/company/Grupo-diMelo/jobs/Engenheiro-Dados-S%C3%AAnior-58c2934ade96c79e?fccid=b1a1996e76da8411&vjs=3
Engenheiro(a) de Dados Sênior,"São Paulo, SP",Acesso,"Conduzir projetos de soluções analíticas, identificar e viabilizar a aplicação de novas tecnologias, visando a disponibilização de dados para auxiliar na tomada…",https://www.indeed.com/rc/clk?jk=fcbcfc9342a3070d&fccid=345c37a20c4ce3af&vjs=3
Engenheiro de Dados,"São Paulo, SP",OEmprego,"Sólido conhecimento em ambiente SPARK, HADOOP e soluções de ingestão de grande volume de dados.Experiência em definição de soluções de dados para necessidades…",https://www.indeed.com/rc/clk?jk=aa14e7fcf0f31d69&fccid=919b31f0a22ef58e&vjs=3
Engenheiro de Dados Senior,"São Paulo, SP",Cognizant,"Bachelors in science , engineering or equivalent.Understand the project scope, identify activities/ tasks, task level estimates, schedule, dependencies, risks…",https://www.indeed.com/rc/clk?jk=093be1f0a9c47807&fccid=2df6a1e69a70a1e7&vjs=3
Engenheiro de Dados,"Morumbi, SP",Mazzatech,"EXPERIÊNCIA: Conhecimento avançado em Modelagem de Dados ; Conhecimento avançado em Integração de Dados; Conhecimento avançado em Banco de Dados (SQL, Postgre,…",https://www.indeed.com/rc/clk?jk=c96ed907937e6541&fccid=7d320c75db933aec&vjs=3
Engenheiro de Dados (Azure) (PI),"Campinas, SP",OEmprego,Gerenciamento de banco de dados na nuvem.Atuar na estruturação de plataforma de dados no Azure.Criação de ETL com Data Factory.| Ensino: . | Turno: Integral.,https://www.indeed.com/rc/clk?jk=8c2618eaa3474161&fccid=919b31f0a22ef58e&vjs=3
Engenheiro(a) de Dados Google Cloud,Brasil,GeekHunter,Construção de solução de pipeline de dados utilizando suíte Google Cloud;Será responsável pela automatização de processos e construção de pipelines.,https://www.indeed.com/rc/clk?jk=5b545b6a5117c992&fccid=9ba8dec3013c0c90&vjs=3
Engenheiro/a de Dados Senior Teradata,"São Paulo, SP",Ernst & Young,Experiência em projetos de análise de dados relacionados ao Teradata / PowerCenter;Desenvolver processos de integração de dados (ETL) usando os recursos da…,https://www.indeed.com/rc/clk?jk=4e9e566c80664a95&fccid=1544766d4c2915b0&vjs=3
Engenheiro de Dados,"São Paulo, SP",Ernst & Young,Auxiliar na criação e manutenção de pipeline de dados.Garantir a ingestão e disponibilização de dados nos ambientes de BI.Fazer a Modelagem de Dados em ErWin;,https://www.indeed.com/rc/clk?jk=84e6cd7de9922861&fccid=1544766d4c2915b0&vjs=3
Engenheiro/a de Dados Pleno,"São Paulo, SP",Ernst & Young,Auxiliar no Desenvolvimento de novos estudos baseado em diferentes tipos de dados.Auxiliar na criação e manutenção de pipeline de dados utilizando os sistemas…,https://www.indeed.com/rc/clk?jk=29993bd87a2e076c&fccid=1544766d4c2915b0&vjs=3
Engenheiro/a de Dados Teradata,"São Paulo, SP",Ernst & Young,Experiência em projetos de análise de dados relacionados ao Teradata / PowerCenter;Desenvolver processos de integração de dados (ETL) usando os recursos da…,https://www.indeed.com/rc/clk?jk=8892b527bcf9571c&fccid=1544766d4c2915b0&vjs=3
Engenheiro/a de Dados Senior,"São Paulo, SP",Ernst & Young,Auxilia no Desenvolvimento de novos estudos baseado em diferentes tipos de dados.Com os fornecedores de dados identificados para cada necessidade.,https://www.indeed.com/rc/clk?jk=5a63fea0d2e509ba&fccid=1544766d4c2915b0&vjs=3
Engenheiro/a de Dados Sênior,"Brasília, DF",Ernst & Young,Atuar em processos de desenvolvimento de componentes de integração de dados;Auxiliar no Desenvolvimento de novos estudos baseado em diferentes tipos de dados.,https://www.indeed.com/rc/clk?jk=0379460077b9fc40&fccid=1544766d4c2915b0&vjs=3
Gerente Data and Analytics (Engenharia de Dados),"Brasília, DF",Ernst & Young,"Projetar soluções de Engenharia de Dados que usam uma coleção de tecnologias para atingir metas, dada uma ampla variedade de ambientes e tipos de dados.",https://www.indeed.com/rc/clk?jk=bc021cf310ede102&fccid=1544766d4c2915b0&vjs=3
Engenheiro de Dados Jr.,"São Paulo, SP",Ernst & Young,Auxiliar na criação e manutenção de pipeline de dados.Garantir a ingestão e disponibilização de dados nos ambientes de BI.Fazer a Modelagem de Dados em ErWin;,https://www.indeed.com/rc/clk?jk=b1f62b222130818c&fccid=1544766d4c2915b0&vjs=3
