Cargo,Local,Empresa,Descrição,Link
Cientista de dados,"Belo Horizonte, MG",YandexData,"Participar de projetos de ciências de dados com objetivo de construção de modelos preditivos.Resolver problemas e identificar oportunidades por meio de dados,…",https://tinyurl.com/y64hj6rl
Cientista de Dados Júnior,"São Paulo, SP",TOTVS,"Necessário vivência na manipulação dos seguintes itens: modelo multidimensional (OLAP), data warehouse, data mart, mineração de dados, banco de dados…",https://tinyurl.com/y5lxx2zm
Pessoa Cientista de Dados Sênior (Vaga Remota),"Manaus, AM",Carreiras Méliuz,Atuar na especificação de processos e boas práticas para servirem de referência no desenvolvimento de projetos de Ciência de Dados.,https://tinyurl.com/y3y8jugn
Cientista de Dados,"São Paulo, SP",#vempranexa Brasil,Atuar como representante de Anaytics (cientista de dados) desenvolvendo modelos analicos em todas as áreas de negócios da NEXA.Conhecimentos em Python e/ou R.,https://tinyurl.com/yyp92bpr
Cientista de Dados (Pleno),"Campinas, SP",Plus-IT Consulting,"Atuação no desenvolvimento de uma solução para extração, integração e análise de dados e imagens na área de saúde;Experiência em análise e mineração de dados;",https://tinyurl.com/y59xp23o
Cientista de dados para Modelagem Financeira,"São Paulo, SP",Acordo Certo,"Usar o forte conhecimento estatístico e ciência de dados para analisar, questionar, criar modelos estatísticos/financeiros para precificar potenciais…",https://tinyurl.com/yxkz4g55
CIENTISTA DE DADOS - BV,"Rio de Janeiro, RJ",Buscar Vagas,"Experiência: Mínimo de 06 (seis) anos em desenvolvimentos de projetos de BI/DW e Big data.Conhecimento em linguagens de programação de análise de dados (R,…",https://tinyurl.com/y254ftyc
Analista Cientista de Dados Jr.,"São Paulo, SP",PagSeguro PagBank,Conhecimento de ferramentas de visualização de dados.Experiência com processos de ETL de dados.Trabalhar em conjunto com o engenheiro de dados e arquitetos de…,https://tinyurl.com/yxvsp3xd
Cientista de Dados pleno (remoto) Python,Brasil,GeekHunter,"Estruturação de ambientes para consumo de dados.Implantação, manutenção e otimização de pipelines de mineração de dados em escala.O que você irá fazer?",https://tinyurl.com/yyj9xeoy
Cientista de Dados para People Analytics,"Rio de Janeiro, RJ",Keyrus Brazil,"Contribuir para tomada de decisão, baseada em dados gerando aumento de eficiência e produtividade via definição e monitoramento de KPIs, comparações com…",https://tinyurl.com/yye487r7
Cientista de Dados Sênior,"Brasília, DF",Ernst & Young,"Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data.Paixão por dados e pelo negócio.",https://tinyurl.com/y23dtfoe
Cientista de Dados Pleno,"Brasília, DF",Ernst & Young,"Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data.Paixão por dados e pelo negócio.",https://tinyurl.com/y57a5lqq
Cientista de Dados Pleno,Remoto,Propz,"Conhecimento em sistemas de processamento de dados de forma paralela e distribuída (Spark).Tiver experiência com análises de dados, MVP de analytics e modelos…",https://tinyurl.com/y36x32wm
CIENTISTA DE DADOS - SUPERIOR COMPLETO,"Osasco, SP",None,"Atividades: Será responsável por extrair, analisar e gerar insights de como se movimenta o Mercado de Pagamentos Brasileiro e como o Mercado Pago e Mercado…",https://tinyurl.com/yxj8muun
Cientista de Dados Pleno,"São Paulo, SP",HAYS,"Pacote de benefícios completo e atrativo de mercado.Atuando como Cientista de Dados, utilizando técnicas de machine learning e algoritmos avançados.",https://tinyurl.com/y3co8wlw
