Cargo,Local,Empresa,Descrição,Link
Engenheiro de Dados Jr.,"São Paulo, SP",PagSeguro PagBank,"O PagSeguro foi criado para oferecer soluções inovadoras, simples e seguras em meios de pagamento. Trabalhando conosco, você tem a oportunidade de fazer a…",https://tinyurl.com/y3k36msz
Engenheiro de dados SR,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados? Vem compartilhar desse sonho conosco! #vempraSemantix Na Semantix, somos um time de apaixonados por tecnologia,…",https://tinyurl.com/yxuzgtjk
Engenheiro de Dados Azure,"Campinas, SP",Keyrus Brazil,"Sabemos que grandes resultados só são alcançados com uma grande equipe, por isso procuramos pessoas talentosas e apaixonadas, com desejo de crescer…",https://tinyurl.com/y53jrrro
Engenheiro de Dados,"Rio de Janeiro, RJ",Morning Star Consulting,"Atividades Responsável pelo ciclo completo de uma aplicação de BI; Realizar levantamento de requisitos, documentação e suporte a homologação; Realizar o…",https://tinyurl.com/y3h9uylj
[Deloitte] Engenheiro de Dados,"Recife, PE",Porto Digital,"A empresa Somos a maior empresa de serviços do mundo, reconhecida como uma das melhores do Brasil e do mundo para se trabalhar. Todos os seus planos, sonhos…",https://tinyurl.com/y3c54rop
Engenheiro de Dados Sênior,"Rio de Janeiro, RJ",Zoop,"Quem somos? A Zoop é a fintech líder em tecnologia para serviços financeiros no mercado B2B, atuando nos segmentos de meios de pagamento, banking e crédito.…",https://tinyurl.com/y32mtjbe
Engenheiro de Dados Júnior,"São Carlos, SP",Grupo diMelo,Competências técnicas desejadas: * Ter experiência de no mínimo 1 ano com projetos de BI * Conhecimento mínimo na utilização de ferramentas do ecossistema…,https://tinyurl.com/y37rlq88
Engenheiro de Dados Pleno,"São Carlos, SP",Grupo diMelo,Requisitos técnicos desejados: * Ter experiência de no mínimo 3 anos com projetos de BI; * Conhecimento mínimo na utilização de ferramentas do ecossistema…,https://tinyurl.com/yyt8cadr
Engenheiro de Dados Sênior,"São Paulo, SP",Grupo diMelo,Competências técnicas desejadas: * Superior completo; * Sólida experiência do ecossistema Hadoop aplicados a Big Data; * Expertise de ferramentas e…,https://tinyurl.com/y2mrg22t
Engenheiro(a) de Dados Sênior,"São Paulo, SP",Acesso,"Estamos aumentando nosso time de dados, assim como evoluindo nossa nova arquitetura de dados na AWS. Você vai fazer parte dessa revolução desde o início, nos…",https://tinyurl.com/yymdxn72
Engenheiro de Dados,"São Paulo, SP",OEmprego,Atividades: - Estamos a procura de um Engenheiro de Dados que considere dados seu dia a dia. Seja um profissional dinâmico e disposto a enfrentar desafios; -…,https://tinyurl.com/y5ge7rbk
Engenheiro de Dados Senior,"São Paulo, SP",Cognizant,"Technical Lead Qualification: Bachelors in science , engineering or equivalent Responsibility: Project Planning and Setup: Understand the project scope,…",https://tinyurl.com/y4zzlzun
Engenheiro de Dados,"Morumbi, SP",Mazzatech,"EXPERIÊNCIA: Conhecimento avançado em Modelagem de Dados ; Conhecimento avançado em Integração de Dados; Conhecimento avançado em Banco de Dados (SQL, Postgre…",https://tinyurl.com/y65nt28r
Engenheiro de Dados (Azure) (PI),"Campinas, SP",OEmprego,Descrição: - Atuar na estruturação de plataforma de dados no Azure. - Criação de ETL com Data Factory. - Gerenciamento de banco de dados na nuvem -…,https://tinyurl.com/yxf36o4g
Engenheiro(a) de Dados Google Cloud,Brasil,GeekHunter,ATIVIDADES O que você irá fazer? Será responsável pela automatização de processos e construção de pipelines. REQUISITOS ✅ O que você precisa? Tecnologias…,https://tinyurl.com/y358pmqb
